% For a more comprehensive dataset with many more features check out the "Yacht/Motorboat Pricing Data (10,000+ listings)" dataset.
% Link below:
% https://www.kaggle.com/artemkorottchenko/large-boatyacht-pricing-dataset
% Context
% What are the most important features in determining the price of a new or used aircraft? Is it the aircraft type? Year? Manufacturer? Other characteristics? 
% This is one of many questions regarding the used/new aircraft markets I hope to answer with this dataset. 
% The dataset contains over 2000 aircraft that are for sale around the world. The data was scraped during July of 2020.
% Content
% The data was scraped from various websites using the Scrapy framework for Python. 
% Scrapy script:
% https://github.com/akorott/Aircraft-Scrapy-Script.git
% Content scraped:
%
% New/Used
% Price  
% Currency (USD, EUR, GBP)
% Category
% Year
% Make
% Model
% Location
% Serial number
% Registration number
% Total hours
% Engine 1 hours 
% Engine 2 hours 
% Prop 1 hours
% Prop 2 hours
% Total Seats
% Flight Rules
% National Origin
%
% Keep in mind that the data was scraped from 2 different sources. Some of the data (New/Used, Engine 1 hours, Engine 2 hours, Prop 1 hours, Prop 2 hours, Total Seats, Flight Rules) was only easily accessible on one source, thus is missing for part of the dataset. 
% FAQ
% Flight Rules: Visual Flight Rules (VFR) VS Instrument Flight Rules (IFR). In a nutshell, an aircraft equipped with IFR is one where a pilot can fully navigate an aircraft using instruments in the cockpit. Any aircraft flying over 18,000 feet, by law, has to be equipped with IFR equipment.
% BTH - Beyond the Horizon - according to my research, BTH means that an aircraft is equipped with a radar, but doesn't fully meet IFR criteria.
% VFR - (https://en.wikipedia.org/wiki/Visual_flight_rules)
% IFR - (https://en.wikipedia.org/wiki/Instrument_flight_rules)
% Some of the acronyms used within total hours, engine 1, engine 2, prop 1, prop 2 columns:
% SMOH - Since major overhaul
% SNEW - Since new
% SPOH - Since prop overhaul
% SFOH - Since factory overhaul (more reliable)
% SOH - Since overhaul
% STOH - Since top overhaul
% SFRM - Since factory re-manufactured
% Thank you for checking out this dataset and happy kaggling!  
@RELATION Aircraft-Pricing-Dataset

@ATTRIBUTE Condition STRING
@ATTRIBUTE Price STRING
@ATTRIBUTE Currency STRING
@ATTRIBUTE Category STRING
@ATTRIBUTE Year STRING
@ATTRIBUTE Make STRING
@ATTRIBUTE Model STRING
@ATTRIBUTE Location STRING
@ATTRIBUTE S/N STRING
@ATTRIBUTE REG STRING
@ATTRIBUTE Total_Hours STRING
@ATTRIBUTE Engine_1_Hours STRING
@ATTRIBUTE Engine_2_Hours STRING
@ATTRIBUTE Prop_1_Hours STRING
@ATTRIBUTE Prop_2_Hours STRING
@ATTRIBUTE Total_Seats REAL
@ATTRIBUTE Flight_Rules STRING
@ATTRIBUTE National_Origin STRING

@DATA
New,'387,000 ',USD,'Piston Helicopters',2020,'ROBINSON HELICOPTER','R44 RAVEN I','FL\n                           USA','Not Listed',TBD,?,?,?,?,?,?,?,'United States'
Used,'294,900 ',USD,'Single Engine Piston',2011,CIRRUS,SR20-G3,'Farmingdale (KFRG),\n                           NY\n                           USA',2081,N187PH,1740,'1740 SNEW',?,'1740 SNEW',?,?,?,'United States'
Used,'184,900 ',USD,'Single Engine Piston',2011,CUBCRAFTERS,'CC11-160 CARBON CUB SS','Louisburg,\n                           NC\n                           USA',CC11-00168,N160TJ,175,'175 SNEW',?,'160 SNEW',?,?,?,'United States'
Used,'609,000 ',USD,'Single Engine Piston',2015,CIRRUS,'SR22-G5 TURBO','Knoxville,\n                           TN\n                           USA',1119,N619MT,738,'738 HOURS',?,'738 HOURS',?,5.0,IFR,'United States'
Used,'699,000 ',USD,'Single Engine Piston',2016,BEECHCRAFT,'G36 BONANZA','Greensboro,\n                           NC\n                           USA',E-4100,N71RW,175,'175 SNEW','175 SNEW',?,?,6.0,?,'United States'
Used,'749,000 ',USD,'Single Engine Piston',2016,BEECHCRAFT,'G36 BONANZA','Indianapolis,\n                           IN\n                           USA','Not Listed',N686AG,250,'250 SNEW',?,?,?,?,?,'United States'
Used,'650,000 ',USD,'Single Engine Piston',2016,CIRRUS,'SR22T-G5 GTS','Las Vegas,\n                           NV\n                           USA',1301,N702EC,996,'996 SNEW',?,'996 SNEW',?,5.0,?,'United States'
New,'595,000 ',USD,'Private Jets',2016,'VIPER AIRCRAFT','VIPERJET MK II','Chehalis,\n                           WA\n                           USA',8,N886AK,50,'50 SOH',?,?,?,2.0,IFR,'United States'
Used,'420,000 ',USD,'Single Engine Piston',2017,CESSNA,'172S SKYHAWK SP','Kapolei,\n                           HI\n                           USA',172S12058,N424PE,1118,'644 SNEW',?,'1118 HOURS',?,4.0,BTH,'United States'
New,'1,280,000 ',USD,'Turbine Helicopters',2017,'ROBINSON HELICOPTER',R66,'Laughlin,\n                           NV\n                           USA',767,N531DL,50,'50 SNEW',?,?,?,5.0,VFR,'United States'
New,'279,900 ',USD,'Single Engine Piston',2018,AVIAT,'HUSKY A-1C','Boise,\n                           ID\n                           USA',3304,N304WY,230,'230 HOURS',?,'230 HOURS',?,2.0,VFR,'United States'
Used,'185,000 ',USD,'Single Engine Piston',2018,'BRM AERO',BRISTELL,'Salt Lake City,\n                           UT\n                           USA',379,N233PM,38,'38 SNEW',?,'5 SNEW',?,2.0,IFR,'Czech Republic'
