atencion_id;fecha_hora;informador_id;centro_id;encuesta_id;País;En caso de ser Español, ¿cuál  es su provincia de procedencia?;Sexo;¿ En qué medio de transporte ha llegado a Madrid?;¿Cómo ha localizado los SAIT?;¿Volvería a utilizar este servicio?;¿Ha buscado información sobre la ciudad de Madrid antes de venir;En relación con las instalaciones del Servicio de Atención e Inf;En relación con el personal de atención que le ha atendido en lo;En relación con el servicio prestado, ¿cuál es su grado de satis;En relación con los medios materiales y la documentación disponi;¿Cuál es su nivel global de satisfacción con el Servicio de Aten;Observaciones;Con quién viaja (sólo una opción);Edad;Duración de la estancia en Madrid;¿Cuál es el motivo de su visita a la Ciudad de  Madrid?;¿Qué instalaciones del Servicio de Atención e Información Turíst
2124537;2021-07-17 10:19:15;98;58;174;Seleccione País;Córdoba;Hombre;Autobús;"Los había visto anteriormente&nbsp;";Sí;Teléfono;Señalización informativa$$10;Utilidad de la información facilitada$$8;Tiempo de espera para ser atendido$$9;Plano de la ciudad$$10;8;;En pareja;25-44;2 noches;Ocio, recreo y vacaciones;Centro de Turismo de la Plaza Mayor
2124538;2021-07-17 10:19:06;98;58;174;España;Las Palmas;Mujer;Avión;"Los había visto anteriormente&nbsp;";Sí;No ha buscado información;Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$9;Plano de la ciudad$$10;10;;Con amigos;25-44;De 4 a 7 noches;Ocio, recreo y vacaciones;PIT de Callao
2124545;2021-07-17 10:31:37;98;58;174;España;Barcelona;Mujer;Tren;Los ha encontrado en su recorrido;Sí;Internet/web (Indicar páginas)##booking;Señalización informativa$$8;Utilidad de la información facilitada$$9;Tiempo de espera para ser atendido$$9;Plano de la ciudad$$9;10;;Sólo;45-64;3 noches;Ocio, recreo y vacaciones;Centro de Turismo de la Plaza Mayor
2124549;2021-07-17 10:31:57;98;58;174;España;Barcelona;Mujer;Tren;Los ha encontrado en su recorrido;Sí;Otros (Indicar)##Sus hijos vienen mucho;Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;10;;En familia;25-44;2 noches;Familia;Centro de Turismo de la Plaza Mayor
2124558;2021-07-17 10:42:54;98;58;174;Seleccione País;Madrid;Hombre;Otro (Indicar)##Metro;Los ha encontrado en su recorrido;Sí;Internet/web (Indicar páginas)##Booking;Señalización informativa$$10;Utilidad de la información facilitada$$9;Tiempo de espera para ser atendido$$9;Plano de la ciudad$$9;10;;En pareja;45-64;Residente;Residente;Centro de Turismo de la Plaza Mayor
2124564;2021-07-17 10:54:48;98;58;174;Seleccione País;Madrid;Mujer;Otro (Indicar)##metro;"Los había visto anteriormente&nbsp;";Sí;Internet/web (Indicar páginas)##tripadvisor;Señalización informativa$$10;Utilidad de la información facilitada$$8;Tiempo de espera para ser atendido$$9;Plano de la ciudad$$10;9;;En familia;45-64;Excursionista;Ocio, recreo y vacaciones;Centro de Turismo de la Plaza Mayor
2124566;2021-07-17 10:45:22;98;58;174;Seleccione País;NULL;Mujer;Avión;"Los había visto anteriormente&nbsp;";Sí;Otros (Indicar)##Vivian aquí hace años;Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$8;Plano de la ciudad$$10;10;Podrían tener planos para los niños, para rodear donde van...;En familia;25-44;De 1 a 3 meses;Ocio, recreo y vacaciones;PIT de Atocha
2124571;2021-07-17 10:58:02;98;58;174;Seleccione País;Barcelona;Mujer;Autobús;Los ha encontrado en su recorrido;Sí;Teléfono;Señalización informativa$$10;Utilidad de la información facilitada$$8;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$9;10;;En familia;45-64;3 noches;Ocio, recreo y vacaciones;Centro de Turismo de la Plaza Mayor
2124575;2021-07-17 10:58:46;98;58;174;Seleccione País;Badajoz;Hombre;Autobús;Los ha encontrado en su recorrido;Sí;Internet/web (Indicar páginas)##QuevisitarenMadrid;Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;10;;Con amigos;15-24;De 4 a 7 noches;Ocio, recreo y vacaciones;Centro de Turismo de la Plaza Mayor
2124589;2021-07-17 11:05:17;98;58;174;Seleccione País;Barcelona;Mujer;Coche particular;"Los había visto anteriormente&nbsp;";Sí;No ha buscado información;Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$7;10;Plano mas grande;En pareja;25-44;De 4 a 7 noches;Ocio, recreo y vacaciones;Centro de Turismo de la Plaza Mayor
2124590;2021-07-17 11:12:53;98;58;174;Seleccione País;Barcelona;Mujer;Avión;"Los había visto anteriormente&nbsp;";Sí;Internet/web (Indicar páginas)##google;Señalización informativa$$8;Utilidad de la información facilitada$$9;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$8;8;;En pareja;25-44;3 noches;Negocios;Centro de Turismo de la Plaza Mayor
2124592;2021-07-17 11:17:48;98;58;174;Seleccione País;Barcelona;Hombre;Avión;"Los había visto anteriormente&nbsp;";Sí;Internet/web (Indicar páginas)##airbnb;Señalización informativa$$10;Utilidad de la información facilitada$$9;Tiempo de espera para ser atendido$$9;Plano de la ciudad$$8;8;;En pareja;25-44;2 noches;Negocios;Centro de Turismo de la Plaza Mayor
2124596;2021-07-17 11:16:21;98;58;174;España;Valencia;Hombre;Coche particular;Los ha encontrado en su recorrido;Sí;Internet/web (Indicar páginas)##Corteingles para entradas;Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;10;;En pareja;25-44;3 noches;Ocio, recreo y vacaciones;Centro de Turismo de la Plaza Mayor
2124598;2021-07-17 11:22:24;98;58;174;Seleccione País;Valencia;Mujer;Coche particular;Los ha encontrado en su recorrido;Sí;"Guías turísticas publicadas sobre la ciudad&nbsp;";Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;10;;En pareja;25-44;3 noches;Ocio, recreo y vacaciones;Centro de Turismo de la Plaza Mayor
2124599;2021-07-17 11:19:08;98;58;174;Reino Unido;NULL;Mujer;Avión;Los ha encontrado en su recorrido;Sí;Internet/web (Indicar páginas)##wikipedia;Señalización informativa$$9;Utilidad de la información facilitada$$7;Tiempo de espera para ser atendido$$8;Plano de la ciudad$$8;8;;En familia;45-64;3 noches;Ocio, recreo y vacaciones;Centro de Turismo de la Plaza Mayor
2124601;2021-07-17 11:25:02;98;58;174;Seleccione País;NULL;Hombre;Avión;Los ha encontrado en su recorrido;Sí;No ha buscado información;Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;10;;Otras formas (Indicar)##Personal de la empresa;25-44;De 4 a 7 noches;Negocios;Centro de Turismo de la Plaza Mayor
2124609;2021-07-17 11:31:09;98;58;174;Seleccione País;Córdoba;Mujer;Autobús;Los ha encontrado en su recorrido;Sí;Teléfono;Señalización informativa$$9;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;10;Plano Madrid cultural perfecto;En pareja;+65;3 noches;Ver un espectáculo en particular (Indicar cuál)##Paseosmadridantiguo;Centro de Turismo de la Plaza Mayor
2124613;2021-07-17 11:36:24;98;58;174;Seleccione País;Asturias;Hombre;Coche particular;Los ha encontrado en su recorrido;Sí;Otros (Indicar)##television;Señalización informativa$$9;Utilidad de la información facilitada$$9;Tiempo de espera para ser atendido$$8;Plano de la ciudad$$8;9;;En familia;25-44;3 noches;Familia;Centro de Turismo de la Plaza Mayor
2124625;2021-07-17 11:37:02;98;58;174;España;Madrid;Hombre;Residente;Los ha encontrado en su recorrido;Sí;No ha buscado información;Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$8;Plano de la ciudad$$10;10;;En pareja;45-64;Residente;Residente;PIT Faro de Moncloa
2124628;2021-07-17 11:38:53;98;58;174;Seleccione País;Sevilla;Mujer;Coche particular;Los ha encontrado en su recorrido;Sí;Internet/web (Indicar páginas)##booking;Señalización informativa$$8;Utilidad de la información facilitada$$8;Tiempo de espera para ser atendido$$8;Plano de la ciudad$$9;8;;En familia;45-64;3 noches;Ocio, recreo y vacaciones;Centro de Turismo de la Plaza Mayor
2124632;2021-07-17 11:45:15;98;58;174;Seleccione País;Madrid;Hombre;Avión;Los ha encontrado en su recorrido;Sí;Internet/web (Indicar páginas)##Palacioreal;Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$7;Plano de la ciudad$$10;10;;Sólo;15-24;De 1 a 3 meses;Otros (Indicar cuál)##Intercambio en familia;Centro de Turismo de la Plaza Mayor
2124635;2021-07-17 11:48:09;98;58;174;España;Guipúzcoa;Mujer;Coche particular;Los ha encontrado en su recorrido;Sí;No ha buscado información;Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;10;;En familia;25-44;3 noches;Ocio, recreo y vacaciones;Centro de Turismo de la Plaza Mayor
2124636;2021-07-17 11:48:31;98;58;174;Seleccione País;Vizcaya;Hombre;Coche particular;Los ha encontrado en su recorrido;Sí;Internet/web (Indicar páginas)##facebook;Señalización informativa$$8;Utilidad de la información facilitada$$9;Tiempo de espera para ser atendido$$8;Plano de la ciudad$$8;8;;En familia;45-64;3 noches;Ocio, recreo y vacaciones;Centro de Turismo de la Plaza Mayor
2124652;2021-07-17 11:55:43;98;58;174;Seleccione País;Guipúzcoa;Mujer;Coche particular;Los ha encontrado en su recorrido;Sí;Internet/web (Indicar páginas)##facebook;Señalización informativa$$7;Utilidad de la información facilitada$$8;Tiempo de espera para ser atendido$$8;Plano de la ciudad$$8;8;;En familia;45-64;3 noches;Ocio, recreo y vacaciones;Centro de Turismo de la Plaza Mayor
2124674;2021-07-17 11:54:14;98;58;174;Seleccione País;NULL;Mujer;Avión;Los ha encontrado en su recorrido;Sí;Internet/web (Indicar páginas)##Turismoespaña;Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;10;;En familia;25-44;De 1 a 2 semanas;Ocio, recreo y vacaciones;PIT del Aeropuerto T-2
2124679;2021-07-17 11:57:12;98;58;174;Seleccione País;NULL;Hombre;Avión;"Los había visto anteriormente&nbsp;";Sí;Internet/web (Indicar páginas)##tripadvisor;Señalización informativa$$8;Utilidad de la información facilitada$$7;Tiempo de espera para ser atendido$$7;Plano de la ciudad$$8;8;;En pareja;25-44;3 noches;Ocio, recreo y vacaciones;Centro de Turismo de la Plaza Mayor
2124684;2021-07-17 12:14:54;98;58;174;Seleccione País;Jaén;Mujer;Autobús;Los ha encontrado en su recorrido;Sí;"Guías turísticas publicadas sobre la ciudad&nbsp;";Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;10;;Grupo Organizado;25-44;1 noche;Otros (Indicar cuál)##Boda;Centro de Turismo de la Plaza Mayor
2124685;2021-07-17 12:17:49;98;58;174;Seleccione País;Madrid;Hombre;Otro (Indicar)##metro;"Los había visto anteriormente&nbsp;";Sí;"Guías turísticas publicadas sobre la ciudad&nbsp;";Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;10;;Sólo;45-64;Residente;Ocio, recreo y vacaciones;Centro de Turismo de la Plaza Mayor
2124696;2021-07-17 12:23:08;98;58;174;Seleccione País;Madrid;Mujer;Coche particular;"Los había visto anteriormente&nbsp;";Sí;"Guías turísticas publicadas sobre la ciudad&nbsp;";Señalización informativa$$9;Utilidad de la información facilitada$$9;Tiempo de espera para ser atendido$$9;Plano de la ciudad$$10;9;;En familia;45-64;Residente;Compras;Centro de Turismo de la Plaza Mayor
2124701;2021-07-17 12:29:40;98;58;174;Seleccione País;Madrid;Hombre;Coche particular;"Los había visto anteriormente&nbsp;";Sí;"Guías turísticas publicadas sobre la ciudad&nbsp;";Señalización informativa$$8;Utilidad de la información facilitada$$8;Tiempo de espera para ser atendido$$7;Plano de la ciudad$$7;7;;En familia;45-64;Residente;Compras;Centro de Turismo de la Plaza Mayor
2124706;2021-07-17 12:22:11;98;58;174;Seleccione País;Madrid;Mujer;Residente;Los ha encontrado en su recorrido;Sí;Internet/web (Indicar páginas)##Corteingles;Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;10;;Grupo Organizado;+65;Residente;Otros (Indicar cuál)##Boda;Centro de Turismo de la Plaza Mayor
2124725;2021-07-17 12:33:43;98;58;174;Seleccione País;Barcelona;Mujer;Coche particular;Los ha encontrado en su recorrido;Sí;"Guías turísticas publicadas sobre la ciudad&nbsp;";Señalización informativa$$10;Utilidad de la información facilitada$$9;Tiempo de espera para ser atendido$$9;Plano de la ciudad$$9;8;;En pareja;45-64;3 noches;Ocio, recreo y vacaciones;Centro de Turismo de la Plaza Mayor
2124739;2021-07-17 12:33:42;98;58;174;Seleccione País;Madrid;Hombre;Residente;"Los había visto anteriormente&nbsp;";Sí;Internet/web (Indicar páginas)##Groupon;Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;10;;En pareja;45-64;Residente;Residente;PIT del Paseo del Prado
2124764;2021-07-17 13:00:41;98;58;174;España;Toledo;Hombre;Coche particular;Los ha encontrado en su recorrido;Sí;Internet/web (Indicar páginas)##Freetour;Señalización informativa$$8;Utilidad de la información facilitada$$9;Tiempo de espera para ser atendido$$8;Plano de la ciudad$$8;10;;En pareja;25-44;De 4 a 7 noches;Ocio, recreo y vacaciones;Centro de Turismo de la Plaza Mayor
2124768;2021-07-17 12:49:22;98;58;174;Seleccione País;Salamanca;Mujer;Coche particular;Los ha encontrado en su recorrido;Sí;"Guías turísticas publicadas sobre la ciudad&nbsp;";Señalización informativa$$8;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$8;Plano de la ciudad$$7;7;;En familia;25-44;2 noches;Ocio, recreo y vacaciones;Centro de Turismo de la Plaza Mayor
2124881;2021-07-17 15:17:52;312;51;174;México;NULL;Mujer;Avión;Los ha encontrado en su recorrido;Sí;Internet/web (Indicar páginas)##bolgs, youtube;Señalización informativa$$8;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;10;;En familia;25-44;De 1 a 2 semanas;Ocio, recreo y vacaciones;PIT de Estadio Santiago Bernabéu
2124886;2021-07-17 15:09:09;98;58;174;Seleccione País;Cáceres;Hombre;Coche particular;Los ha encontrado en su recorrido;Sí;Internet/web (Indicar páginas)##Booking;Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;10;;En pareja;25-44;2 noches;Otros (Indicar cuál)##Arreglomovil;Centro de Turismo de la Plaza Mayor
2124887;2021-07-17 15:33:31;312;51;174;España;Guipúzcoa;Hombre;Coche particular;Los ha encontrado en su recorrido;Sí;No ha buscado información;Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;10;;En pareja;45-64;3 noches;Ocio, recreo y vacaciones;PIT de Estadio Santiago Bernabéu
2124889;2021-07-17 15:31:06;98;58;174;Seleccione País;NULL;Mujer;Avión;Tenía información previa de su ubicación##Googlemaps;Sí;"Guías turísticas publicadas sobre la ciudad&nbsp;";Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$9;Plano de la ciudad$$10;10;No venden entradas de todos los monunentos;En familia;25-44;3 noches;Ocio, recreo y vacaciones;PIT del Paseo del Prado
2124890;2021-07-17 15:36:00;260;43;174;Italia;NULL;Mujer;Avión;Los ha encontrado en su recorrido;Sí;Otros (Indicar)##trypadvisor;Señalización informativa$$9;Utilidad de la información facilitada$$9;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;9;Le ha llamado la atención el poco ruido que hay en la terminal de llegadas.;Sólo;25-44;De 4 a 7 noches;Otros (Indicar cuál)##turismoyamigos;PIT del Aeropuerto T-2
2124898;2021-07-17 15:36:18;98;58;174;Seleccione País;NULL;Mujer;Avión;Los ha encontrado en su recorrido;Sí;Internet/web (Indicar páginas)##Instagram;Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$9;Plano de la ciudad$$10;10;;En familia;25-44;De 1 a 2 semanas;Ocio, recreo y vacaciones;PIT Faro de Moncloa
2124902;2021-07-17 15:43:10;98;58;174;España;Valencia;Mujer;Coche particular;Los ha encontrado en su recorrido;Sí;Internet/web (Indicar páginas)##Booking/TripAdvisor ;Señalización informativa$$8;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;10;;Con amigos;25-44;De 4 a 7 noches;Ocio, recreo y vacaciones;Centro de Turismo de la Plaza Mayor
